"item_id","date","buy","sell","abuy","asell"
"0","","","","",""
"00","","","","",""
"03","","","","",""
"04","","","","",""
"08","","","","",""
"1","","","","",""
"10181","","","","",""
"11828","","","","",""
"124","","","","",""
"14","","","","",""
"15","","","","",""
"1664","","","","",""
"174","","","","",""
"179","","","","",""
"2","","","","",""
"267","","","","",""
"270","","","","",""
"289","","","","",""
"3","","","","",""
"32","","","","",""
"4","","","","",""
"40","","","","",""
"4059","","","","",""
"42","","","","",""
"49","","","","",""
"5","","","","",""
"5303","","","","",""
"532","","","","",""
"540","","","","",""
"5436","","","","",""
"58","","","","",""
"62","","","","",""
"67","","","","",""
"675","","","","",""
"7","","","","",""
"718","","","","",""
"81","","","","",""
"82","","","","",""
"895","","","","",""
"9","","","","",""
"","0","","","",""
"1","0","","","",""
"3","0","","","",""
"","1","","","",""
"0","1","","","",""
"3","1","","","",""
"142","10","","","",""
"50","100","","","",""
"32","106","","","",""
"4604","10818","","","",""
"0","11","","","",""
"250","11","","","",""
"1","12","","","",""
"285","1205","","","",""
"","14212","","","",""
"","153","","","",""
"","16","","","",""
"","19","","","",""
"","2","","","",""
"0","2","","","",""
"363","2","","","",""
"9","2","","","",""
"","200","","","",""
"1","22","","","",""
"30","23","","","",""
"","2365","","","",""
"","23712","","","",""
"30","291","","","",""
"","3","","","",""
"0","3","","","",""
"4","3","","","",""
"2000","3008","","","",""
"135","31","","","",""
"","40177","","","",""
"0","43","","","",""
"000","4300","","","",""
"","46","","","",""
"","48","","","",""
"2","49896","","","",""
"92","4991","","","",""
"","5","","","",""
"0","5","","","",""
"","57","","","",""
"1","6","","","",""
"2","6","","","",""
"11000","6500","","","",""
"1","7","","","",""
"10","7","","","",""
"152","753","","","",""
"2396","7572","","","",""
"0","86","","","",""
"","9264","","","",""
"","980","","","",""
"","1","0","","",""
"","0","1","","",""
"","1","1","","",""
"0","1","1","","",""
"00","1","1","","",""
"000","1","1","","",""
"013","1","1","","",""
"025","1","1","","",""
"379","1","1","","",""
"49001","1","1","","",""
"5099","1","1","","",""
"66003","1","1","","",""
"67000","1","1","","",""
"","10","1","","",""
"025","12","1","","",""
"444","2","1","","",""
"67","2","1","","",""
"0000","3","1","","",""
"0025","3","1","","",""
"0","4","1","","",""
"3","4","1","","",""
"00","5","1","","",""
